key,name,ra,dec,distance_modulus,rhalf,ellipticity,distance,rhalf_sph_physical,M_V,ref_structure,ref_distance,ref_m_v,distance_gc,abbrev,Survey,delve_census,dwarf_class,M_V_err,rhalf_sph_physical_err,distance_err
antlia_2,Antlia II,143.8079,-36.6991,20.47,104.6,0.6,124.16523075924091,2379.319821386668,-9.73,Ji2021ApJ...921...32J,Vivas2022ApJ...926...78V,Ji2021ApJ...921...32J,125.1488197212054,AntII,GC,False,D,0.08,247.86302400257773,5.147691671130623
aquarius_2,Aquarius II,338.4813,-9.3274,20.16,5.1,0.39,107.64652136298348,123.6910459513404,-4.359999999999999,Torrealba2016MNRAS.463..712T,Torrealba2016MNRAS.463..712T,Torrealba2016MNRAS.463..712T,105.12796229266009,AqrII,DELVE,True,D,0.14,21.756626358428413,3.4707148944144204
aquarius_3,Aquarius III,357.218,-3.489,19.66,2.1,0.47,85.50667128846841,36.27798020956331,-2.5,Cerny2025ApJ...979..164C,Cerny2025ApJ...979..164C,Cerny2025ApJ...979..164C,85.75356317536615,AqrIII,DELVE,True,D,0.4,13.243130536648472,4.3333532682967615
bootes_1,Bootes I,210.02,14.5135,19.11,9.97,0.3,66.37430704019089,160.8605354939023,-6.02,Munoz2018ApJ...860...66M,DallOra2006ApJ...653L.109D,Munoz2018ApJ...860...66M,64.00424304693458,BooI,DELVE,True,D,0.25,8.159037034803475,2.445873043081331
bootes_2,Bootes II,209.5141,12.8553,18.1,3.17,0.25,41.68693834703355,32.9991921117261,-2.9400000000000013,Munoz2018ApJ...860...66M,Walsh2008ApJ...688..245W,Munoz2018ApJ...860...66M,39.51031738715197,BooII,DELVE,True,D,0.25,5.025048017328544,1.1519992474527427
bootes_3,Bootes III,209.3,26.8,18.34,40.6,0.33,46.55860935229591,447.9018957608454,-5.74,Moskowitz2020ApJ...892...27M,Carlin2018ApJ...865....7C,Correnti2009MNRAS.397L..26C,45.58291438194171,BooIII,PS1,False,D,0.5,52.44432034295963,0.4288267022417997
bootes_4,Bootes IV,233.689,43.726,21.6,7.6,0.64,208.9296130854041,274.06641835195296,-5.34,Homma2019PASJ...71...94H,Homma2019PASJ...71...94H,Homma2024PASJ...76..733H,207.47691792332927,BooIV,PS1,False,PD,0.2299999999999999,43.24942263135517,19.27034674022632
bootes_5,Bootes V,213.909,32.914,20.04,0.76,0.2,101.8591388054117,19.926645585223465,-3.2,Cerny2023ApJ...953....1C,Cerny2023ApJ...953....1C,Cerny2023ApJ...953....1C,100.6785656381115,BooV,PS1,False,PD,0.3,2.684295394421952,7.041777139623697
canes_venatici_1,Canes Venatici I,202.0091,33.5521,21.62,7.12,0.44,210.86281499332887,326.43830673367563,-8.73,Munoz2018ApJ...860...66M,Kuehn2008ApJ...674L..81K,Munoz2018ApJ...860...66M,210.63110836093347,CVnI,PS1,True,D,0.06,15.794917778459393,5.827096299706483
canes_venatici_2,Canes Venatici II,194.2927,34.3226,21.02,1.52,0.4,159.9558028614668,54.038420810506864,-5.17,Munoz2018ApJ...860...66M,Greco2008ApJ...675L..73G,Munoz2018ApJ...860...66M,160.57350129753075,CVnII,PS1,True,D,0.32,10.495238971602266,4.420304580492683
carina_1,Carina,100.4065,-50.9593,20.118,10.1,0.36,105.58445924300804,248.11686753386087,-9.429999999999998,Munoz2018ApJ...860...66M,Karczmarek2015AJ....150...90K,Munoz2018ApJ...860...66M,107.17678426138208,Car,DELVE,True,D,0.05,13.207004459579508,5.399552659536759
carina_2,Carina II,114.1066,-57.9991,17.864,8.69,0.34,37.39383436431516,76.51535277741172,-4.574000000000002,Torrealba2018MNRAS.475.5085T,Torrealba2018MNRAS.475.5085T,Torrealba2018MNRAS.475.5085T,38.26816010502221,CarII,DELVE,True,D,0.1,7.706385952985393,0.3960788394509684
carina_3,Carina III,114.6298,-57.8997,17.22,3.75,0.55,27.797132677592884,19.507250501438705,-2.3999999999999986,Torrealba2018MNRAS.475.5085T,Torrealba2018MNRAS.475.5085T,Torrealba2018MNRAS.475.5085T,28.95863322348667,CarIII,DELVE,True,D,0.2,6.858079101445044,1.280557780455359
centaurus_1,Centaurus I,189.5908,-40.9043,20.354,2.6,0.36,117.70637907805695,70.97392206926465,-5.353999999999999,Casey2025ApJ...984..148C,MartinezVazquez2021AJ....162..253M,Casey2025ApJ...984..148C,114.13375404922058,CenI,DELVE,True,D,0.19,8.877395537727189,3.7950625608814894
